business_name,business_id,fault_type,quarter,repair_count
3D Auto Body & Collision Centers,BjnDBwvoVX3uDSOBUwVyvw,body_and_exterior,1.0,1
3D Auto Body & Collision Centers,orI1JFGAOLM5BPwxSU6ICA,body_and_exterior,1.0,2
3D Auto Body & Collision Centers,Wy5tHLsRtu9y4mdsUqhKhg,body_and_exterior,1.0,1
3D Auto Body & Collision Centers,1Nft9b1Wuk5Pl_mQIEptcQ,body_and_exterior,2.0,3
3D Auto Body & Collision Centers,BjnDBwvoVX3uDSOBUwVyvw,body_and_exterior,2.0,1
3D Auto Body & Collision Centers,orI1JFGAOLM5BPwxSU6ICA,body_and_exterior,2.0,1
3D Auto Body & Collision Centers,BjnDBwvoVX3uDSOBUwVyvw,suspension,2.0,1
3D Auto Body & Collision Centers,orI1JFGAOLM5BPwxSU6ICA,suspension,2.0,1
3D Auto Body & Collision Centers,VavFsi4miP0KoZyppbcg5Q,suspension,2.0,1
3D Auto Body & Collision Centers,1Nft9b1Wuk5Pl_mQIEptcQ,body_and_exterior,3.0,2
3D Auto Body & Collision Centers,BjnDBwvoVX3uDSOBUwVyvw,body_and_exterior,3.0,1
3D Auto Body & Collision Centers,orI1JFGAOLM5BPwxSU6ICA,body_and_exterior,3.0,1
3D Auto Body & Collision Centers,VavFsi4miP0KoZyppbcg5Q,body_and_exterior,3.0,1
3D Auto Body & Collision Centers,Wy5tHLsRtu9y4mdsUqhKhg,electrical_system,3.0,2
3D Auto Body & Collision Centers,VavFsi4miP0KoZyppbcg5Q,lighting,3.0,1
3D Auto Body & Collision Centers,BjnDBwvoVX3uDSOBUwVyvw,body_and_exterior,4.0,1
3D Auto Body & Collision Centers,VavFsi4miP0KoZyppbcg5Q,body_and_exterior,4.0,2
3D Auto Body & Collision Centers,Wy5tHLsRtu9y4mdsUqhKhg,body_and_exterior,4.0,1
3 Diamonds Automotive,tY9O-0lBEcIN-sVPKLJllw,suspension,1.0,1
3 Diamonds Automotive,tY9O-0lBEcIN-sVPKLJllw,miscellaneous,4.0,1
3 Girls Towing,fQwRRX-dgf-j8NJ2YOi0bw,wheels_and_tires,2.0,1
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,lighting,1.0,1
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,wheels_and_tires,1.0,4
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,wheels_and_tires,2.0,2
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,engine,3.0,1
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,wheels_and_tires,3.0,6
3 J's Discount Tire,I8Sl5TyuBPtIIxeSNrXr8w,wheels_and_tires,4.0,5
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,electrical_system,1.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,brakes,2.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,transmission,2.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,wheels_and_tires,2.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,electrical_system,3.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,transmission,3.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,wheels_and_tires,3.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,electrical_system,4.0,1
5 Points Automotive Center,GpCSyHVGPAvjy3ALn6LGxw,engine,4.0,1
611 Metals Recycling LLC,7g48vIO9VTj-S6FxtubPLg,lighting,1.0,1
7-Eleven,gHMUdZqJFLTGO7Lw-3h35A,electrical_system,1.0,1
7-Eleven,gHMUdZqJFLTGO7Lw-3h35A,wheels_and_tires,3.0,1
AAAA Hubcap Heaven,cT2uLApb2zxAclAk40723A,wheels_and_tires,1.0,2
AAAA Hubcap Heaven,cT2uLApb2zxAclAk40723A,wheels_and_tires,3.0,4
AAAA Hubcap Heaven,cT2uLApb2zxAclAk40723A,wheels_and_tires,4.0,2
AAA - Ardmore,zP1ZdZ6O-LoY3x_0foitdA,body_and_exterior,2.0,1
AAA - Ardmore,zP1ZdZ6O-LoY3x_0foitdA,body_and_exterior,3.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,transmission,1.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,wheels_and_tires,1.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,body_and_exterior,2.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,brakes,2.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,electrical_system,2.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,wheels_and_tires,2.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,engine,3.0,3
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,lighting,3.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,electrical_system,4.0,1
AAA Clifton Heights Car Care Insurance Travel Center,Gj1rpSjETQwVQguOsPtWZA,engine,4.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,brakes,1.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,lighting,1.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,engine,2.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,wheels_and_tires,2.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,engine,3.0,1
AAA Downingtown Car Care Insurance Travel Center,DuUuc6qmErYkVGAWeRkqqg,transmission,4.0,1
AAA - Glen Mills,RlcbhC57BVKZzBUo9asYFg,electrical_system,3.0,1
AAA Langhorne Car Care Insurance Travel Center,1-45hW-XjTTBlblWtLN1gQ,body_and_exterior,2.0,1
AAA Mid-Atlantic,Ciqsv4U4zuUnv8lDBPUGjw,electrical_system,2.0,1
AAA - Philadelphia,AjFgnR0TwDxThO5lOv_WQQ,brakes,4.0,1
AAA - Philadelphia,AjFgnR0TwDxThO5lOv_WQQ,wheels_and_tires,4.0,1
AAA Philadelphia Northeast,HHL5AD3DQo2DEoIE8xL62w,electrical_system,1.0,1
AAA Philadelphia Northeast,HHL5AD3DQo2DEoIE8xL62w,wheels_and_tires,1.0,1
AAA Philadelphia Northeast,HHL5AD3DQo2DEoIE8xL62w,electrical_system,4.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,body_and_exterior,1.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,electrical_system,1.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,engine,1.0,2
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,interior,1.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,wheels_and_tires,1.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,suspension,2.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,wheels_and_tires,2.0,2
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,body_and_exterior,3.0,3
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,interior,3.0,2
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,lighting,3.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,wheels_and_tires,3.0,3
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,body_and_exterior,4.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,electrical_system,4.0,2
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,engine,4.0,1
AAA South Philadelphia Car Care Insurance Travel Center,F13x4Y7Lmv_FgyWUxka5xg,wheels_and_tires,4.0,1
AAA Tire & Auto Service - King of Prussia,i5p3LxGGjnUjKzdOEb1TiA,electrical_system,2.0,1
A A Auto & Truck Repair,2KLhsaorC99JVZHJH_L6vQ,brakes,1.0,1
A A Auto & Truck Repair,2KLhsaorC99JVZHJH_L6vQ,transmission,1.0,1
A A Auto & Truck Repair,2KLhsaorC99JVZHJH_L6vQ,wheels_and_tires,1.0,1
A A Auto & Truck Repair,2KLhsaorC99JVZHJH_L6vQ,brakes,3.0,1
AAA Warminster Car Care Insurance Travel Center,YAZLV0zhw0tfg2Cjm8ybqw,brakes,1.0,1
AAA Warminster Car Care Insurance Travel Center,YAZLV0zhw0tfg2Cjm8ybqw,electrical_system,1.0,1
AAA Warminster Car Care Insurance Travel Center,YAZLV0zhw0tfg2Cjm8ybqw,body_and_exterior,3.0,1
AAA Warminster Car Care Insurance Travel Center,YAZLV0zhw0tfg2Cjm8ybqw,engine,3.0,1
AAA Warminster Car Care Insurance Travel Center,YAZLV0zhw0tfg2Cjm8ybqw,wheels_and_tires,4.0,1
AAA Wayne,2J4mkJp1sGGNjX6VnS0OOg,transmission,1.0,1
AAA Wayne,2J4mkJp1sGGNjX6VnS0OOg,body_and_exterior,2.0,1
AAA Wayne,2J4mkJp1sGGNjX6VnS0OOg,wheels_and_tires,3.0,2
AAA Wayne,2J4mkJp1sGGNjX6VnS0OOg,engine,4.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,electrical_system,1.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,engine,1.0,3
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,brakes,3.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,electrical_system,3.0,2
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,steering,3.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,wheels_and_tires,3.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,body_and_exterior,4.0,1
AAA West Chester Car Care Insurance Travel Center,QkHF8eeJx9R7S95ifUtDIw,miscellaneous,4.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,lighting,1.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,body_and_exterior,2.0,2
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,brakes,2.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,engine,2.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,interior,2.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,wheels_and_tires,2.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,body_and_exterior,3.0,2
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,electrical_system,3.0,2
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,engine,3.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,transmission,3.0,1
AAA Willow Grove Car Care Insurance Travel Center,Iu7QerAvVSGN3Y1CcCm64g,wheels_and_tires,4.0,2
Aamco Transmissions,Vlkl-QcYvjnBN3GpOOs-8A,transmission,2.0,1
Aamco Transmissions,Vlkl-QcYvjnBN3GpOOs-8A,body_and_exterior,3.0,1
Aamco Transmissions,Vlkl-QcYvjnBN3GpOOs-8A,suspension,3.0,1
Aamco Transmissions,Vlkl-QcYvjnBN3GpOOs-8A,transmission,3.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,brakes,1.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,engine,1.0,1
AAMCO Transmissions & Total Car Care,MNfu3Xc7LL4SU8JKKK0KIA,engine,1.0,2
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,engine,1.0,1
AAMCO Transmissions & Total Car Care,OzruqKZhTokmSZhFVJIcZg,engine,1.0,1
AAMCO Transmissions & Total Car Care,vATmOYNSoZuR-Tzt1jQBFQ,engine,1.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,lighting,1.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,transmission,1.0,2
AAMCO Transmissions & Total Car Care,HXZHg8pMjfPFc3JbvRe6iQ,transmission,1.0,2
AAMCO Transmissions & Total Car Care,OzruqKZhTokmSZhFVJIcZg,transmission,1.0,2
AAMCO Transmissions & Total Car Care,vATmOYNSoZuR-Tzt1jQBFQ,transmission,1.0,1
AAMCO Transmissions & Total Car Care,YRGDBGSexf1ZEF7P_bTjGg,transmission,1.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,wheels_and_tires,1.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,body_and_exterior,2.0,1
AAMCO Transmissions & Total Car Care,XSWGss6EB7qOci9K7iGG-A,electrical_system,2.0,1
AAMCO Transmissions & Total Car Care,CaFuoqJS_6y_xHRjkoxPFQ,engine,2.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,engine,2.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,transmission,2.0,1
AAMCO Transmissions & Total Car Care,HXZHg8pMjfPFc3JbvRe6iQ,transmission,2.0,1
AAMCO Transmissions & Total Car Care,MNfu3Xc7LL4SU8JKKK0KIA,transmission,2.0,1
AAMCO Transmissions & Total Car Care,YRGDBGSexf1ZEF7P_bTjGg,transmission,2.0,1
AAMCO Transmissions & Total Car Care,MNfu3Xc7LL4SU8JKKK0KIA,wheels_and_tires,2.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,brakes,3.0,1
AAMCO Transmissions & Total Car Care,CaFuoqJS_6y_xHRjkoxPFQ,engine,3.0,1
AAMCO Transmissions & Total Car Care,CaFuoqJS_6y_xHRjkoxPFQ,transmission,3.0,1
AAMCO Transmissions & Total Car Care,HXZHg8pMjfPFc3JbvRe6iQ,transmission,3.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,transmission,3.0,3
AAMCO Transmissions & Total Car Care,vATmOYNSoZuR-Tzt1jQBFQ,transmission,3.0,2
AAMCO Transmissions & Total Car Care,XSWGss6EB7qOci9K7iGG-A,transmission,3.0,2
AAMCO Transmissions & Total Car Care,YRGDBGSexf1ZEF7P_bTjGg,transmission,3.0,1
AAMCO Transmissions & Total Car Care,CaFuoqJS_6y_xHRjkoxPFQ,wheels_and_tires,3.0,1
AAMCO Transmissions & Total Car Care,XSWGss6EB7qOci9K7iGG-A,brakes,4.0,1
AAMCO Transmissions & Total Car Care,CaFuoqJS_6y_xHRjkoxPFQ,engine,4.0,1
AAMCO Transmissions & Total Car Care,HXZHg8pMjfPFc3JbvRe6iQ,engine,4.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,engine,4.0,1
AAMCO Transmissions & Total Car Care,urQ3CPCX43EojNVrQi_B5A,engine,4.0,1
AAMCO Transmissions & Total Car Care,XSWGss6EB7qOci9K7iGG-A,suspension,4.0,1
AAMCO Transmissions & Total Car Care,getM66efAV80330xLQ9pyg,transmission,4.0,1
AAMCO Transmissions & Total Car Care,HXZHg8pMjfPFc3JbvRe6iQ,transmission,4.0,1
AAMCO Transmissions & Total Car Care,MNfu3Xc7LL4SU8JKKK0KIA,transmission,4.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,transmission,4.0,1
AAMCO Transmissions & Total Car Care,OzruqKZhTokmSZhFVJIcZg,transmission,4.0,2
AAMCO Transmissions & Total Car Care,urQ3CPCX43EojNVrQi_B5A,transmission,4.0,1
AAMCO Transmissions & Total Car Care,osnYhCIf-a1-89Hxit8x6A,wheels_and_tires,4.0,1
Abel Brothers Towing,zd2dQmzDvlSnfPATQeuImQ,wheels_and_tires,1.0,1
Abel Brothers Towing,zd2dQmzDvlSnfPATQeuImQ,transmission,2.0,1
Abel Brothers Towing,zd2dQmzDvlSnfPATQeuImQ,interior,3.0,1
Abel Brothers Towing,zd2dQmzDvlSnfPATQeuImQ,body_and_exterior,4.0,1
Aberdeen Sunoco,d6hWoLrGhrDOERKRtJbHkg,brakes,2.0,1
Aberdeen Sunoco,d6hWoLrGhrDOERKRtJbHkg,electrical_system,3.0,1
Aberdeen Sunoco,d6hWoLrGhrDOERKRtJbHkg,engine,4.0,1
Aberdeen Sunoco,d6hWoLrGhrDOERKRtJbHkg,transmission,4.0,1
Aberdeen Sunoco,d6hWoLrGhrDOERKRtJbHkg,wheels_and_tires,4.0,2
A Bob's Towing,appMXSCalT_9_WzQCfSTbw,interior,1.0,2
A Bob's Towing,appMXSCalT_9_WzQCfSTbw,wheels_and_tires,2.0,1
A Bob's Towing,appMXSCalT_9_WzQCfSTbw,electrical_system,3.0,1
A Bob's Towing,appMXSCalT_9_WzQCfSTbw,engine,3.0,1
A Bob's Towing,appMXSCalT_9_WzQCfSTbw,transmission,4.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,engine,1.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,wheels_and_tires,1.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,body_and_exterior,3.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,electrical_system,3.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,engine,3.0,2
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,transmission,3.0,1
Accu-Tune,WL4m-SQnou7MaNXm4Ay1Xw,engine,4.0,1
Ace Automotive Repair,bOSRrZUfrkNsArQtrX8DRA,engine,4.0,1
A Class Act Auto Repair,x0B2COlqOwPBeJRhEJ0PWA,body_and_exterior,1.0,1
A Class Act Auto Repair,x0B2COlqOwPBeJRhEJ0PWA,electrical_system,2.0,1
ACS Auto Body,UxB8hLgUTOSVUtBv5Ty3sw,body_and_exterior,1.0,1
ACS Auto Body,UxB8hLgUTOSVUtBv5Ty3sw,lighting,2.0,1
Action Discount Tire,yg3jFPdlSEzZboRdLXXlUg,wheels_and_tires,2.0,4
Action Discount Tire,yg3jFPdlSEzZboRdLXXlUg,body_and_exterior,3.0,1
Action Discount Tire,yg3jFPdlSEzZboRdLXXlUg,engine,3.0,1
Action Discount Tire,yg3jFPdlSEzZboRdLXXlUg,wheels_and_tires,3.0,3
Acura Of Limerick,TqFt7gMc7OiopHmdsrYUqw,brakes,2.0,1
Acura Of Limerick,TqFt7gMc7OiopHmdsrYUqw,lighting,3.0,1
Acura Of Limerick,TqFt7gMc7OiopHmdsrYUqw,brakes,4.0,1
Advanced Auto,LuZNdY6isIgpmdtJY6CWNw,brakes,2.0,1
Advanced Auto,LuZNdY6isIgpmdtJY6CWNw,electrical_system,2.0,1
Advanced Auto,LuZNdY6isIgpmdtJY6CWNw,lighting,2.0,1
Advanced Auto,LuZNdY6isIgpmdtJY6CWNw,lighting,4.0,1
Advanced Automotive Service Center,RXlG2ai32h-yEYuOIj4eyA,engine,1.0,1
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,lighting,1.0,1
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,wheels_and_tires,1.0,3
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,electrical_system,2.0,1
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,wheels_and_tires,2.0,6
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,wheels_and_tires,3.0,3
Airport Discount Tire & Auto,bAspnkQQGhGm3yAEtpGDmQ,wheels_and_tires,4.0,1
Alan's Collision Center,SesC7ep7i0uCnBUiqIuPPA,wheels_and_tires,4.0,1
Alexander's Automotive,fgzZIQvQ9JhusBE3ytw9dw,lighting,1.0,1
Alexander's Automotive,fgzZIQvQ9JhusBE3ytw9dw,transmission,1.0,1
Alexander's Automotive,fgzZIQvQ9JhusBE3ytw9dw,engine,3.0,1
Algar Ferrari of Philadelphia,JxnSljTOzOZptt3NrNQMdQ,steering,3.0,1
Al & Harry's 76 Service Station,iD5OArAVoFjtLt2GNpZfnQ,electrical_system,1.0,1
Al & Harry's 76 Service Station,iD5OArAVoFjtLt2GNpZfnQ,wheels_and_tires,2.0,1
Al & Harry's 76 Service Station,iD5OArAVoFjtLt2GNpZfnQ,wheels_and_tires,3.0,2
All About Tires,7vfpMb41JBRMp1xQWt8DyQ,wheels_and_tires,1.0,1
All About Tires,7vfpMb41JBRMp1xQWt8DyQ,electrical_system,2.0,1
All About Tires,7vfpMb41JBRMp1xQWt8DyQ,wheels_and_tires,2.0,1
All About Tires,7vfpMb41JBRMp1xQWt8DyQ,wheels_and_tires,3.0,2
All About Tires,7vfpMb41JBRMp1xQWt8DyQ,wheels_and_tires,4.0,2
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,wheels_and_tires,1.0,5
Allen Tire & Service,vlaLpBMm4Hzz5PXkxBNzfg,wheels_and_tires,1.0,5
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,wheels_and_tires,2.0,3
Allen Tire & Service,vlaLpBMm4Hzz5PXkxBNzfg,wheels_and_tires,2.0,3
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,body_and_exterior,3.0,1
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,wheels_and_tires,3.0,2
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,engine,4.0,1
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,lighting,4.0,1
Allen Tire & Service,nrJE1NcVX04JsGmKrfErzQ,wheels_and_tires,4.0,2
Allen Tire & Service,vlaLpBMm4Hzz5PXkxBNzfg,wheels_and_tires,4.0,2
Alloy Wheel Repair Specialists,mkAiWG4S1ChL8l92HvnYUQ,wheels_and_tires,1.0,2
